Biblioteca	Settimana	Posti
San Paolo	51	0.0
San Paolo	52	0.0
San Paolo	53	0.0
Scienze della Terra	1	18.0
Scienze della Terra	2	18.0
Scienze della Terra	3	18.0
Scienze della Terra	4	18.0
Scienze della Terra	5	18.0
Scienze della Terra	6	18.0
Scienze della Terra	7	18.0
Scienze della Terra	8	18.0
Scienze della Terra	9	18.0
Scienze della Terra	10	18.0
Scienze della Terra	11	18.0
Scienze della Terra	12	18.0
Scienze della Terra	13	18.0
Scienze della Terra	14	18.0
Scienze della Terra	15	18.0
Scienze della Terra	16	18.0
Scienze della Terra	17	18.0
Scienze della Terra	18	18.0
Scienze della Terra	19	18.0
Scienze della Terra	20	18.0
Scienze della Terra	21	18.0
Scienze della Terra	22	18.0
Scienze della Terra	23	18.0
Scienze della Terra	24	18.0
Scienze della Terra	25	18.0
Scienze della Terra	26	18.0
Scienze della Terra	27	18.0
Scienze della Terra	28	18.0
Scienze della Terra	29	18.0
Scienze della Terra	30	0.0
Scienze della Terra	31	0.0
Scienze della Terra	32	0.0
Scienze della Terra	33	0.0
Scienze della Terra	34	0.0
Scienze della Terra	35	0.0
Scienze della Terra	36	18.0
Scienze della Terra	37	18.0
Scienze della Terra	38	18.0
Scienze della Terra	39	18.0
Scienze della Terra	40	18.0
Scienze della Terra	41	18.0
Scienze della Terra	42	62.0
Scienze della Terra	43	62.0
Scienze della Terra	44	0.0
Scienze della Terra	45	0.0
Scienze della Terra	46	0.0
Scienze della Terra	47	0.0
Scienze della Terra	48	0.0
Scienze della Terra	49	0.0
Scienze della Terra	50	0.0
Scienze della Terra	51	0.0
Scienze della Terra	52	0.0
Scienze della Terra	53	0.0
Scienze politiche	1	73.0
Scienze politiche	2	73.0
Scienze politiche	3	73.0
Scienze politiche	4	73.0
Scienze politiche	5	73.0
Scienze politiche	6	73.0
Scienze politiche	7	73.0
Scienze politiche	8	85.0
Scienze politiche	9	85.0
Scienze politiche	10	85.0
Scienze politiche	11	85.0
Scienze politiche	12	85.0
Scienze politiche	13	85.0
Scienze politiche	14	85.0
Scienze politiche	15	85.0
Scienze politiche	16	85.0
Scienze politiche	17	85.0
Scienze politiche	18	85.0
Scienze politiche	19	91.0
Scienze politiche	20	91.0
Scienze politiche	21	91.0
Scienze politiche	22	91.0
Scienze politiche	23	91.0
Scienze politiche	24	91.0
Scienze politiche	25	118.0
Scienze politiche	26	118.0
Scienze politiche	27	118.0
Scienze politiche	28	118.0
Scienze politiche	29	118.0
Scienze politiche	30	0.0
Scienze politiche	31	0.0
Scienze politiche	32	0.0
Scienze politiche	33	0.0
Scienze politiche	34	0.0
Scienze politiche	35	0.0
Scienze politiche	36	118.0
Scienze politiche	37	118.0
Scienze politiche	38	118.0
Scienze politiche	39	118.0
Scienze politiche	40	118.0
Scienze politiche	41	118.0
Scienze politiche	42	263.0
Scienze politiche	43	263.0
Scienze politiche	44	263.0
Scienze politiche	45	0.0
Scienze politiche	46	0.0
Scienze politiche	47	0.0
Scienze politiche	48	0.0
Scienze politiche	49	0.0
Scienze politiche	50	0.0
Scienze politiche	51	0.0
Scienze politiche	52	0.0
Scienze politiche	53	0.0
Storia	1	0.0
Storia	2	32.0
Storia	3	32.0
Storia	4	32.0
Storia	5	32.0
Storia	6	32.0
Storia	7	32.0
Storia	8	32.0
Storia	9	32.0
Storia	10	32.0
Storia	11	32.0
Storia	12	32.0
Storia	13	32.0
Storia	14	32.0
Storia	15	32.0
Storia	16	32.0
Storia	17	32.0
Storia	18	32.0
Storia	19	40.0
Storia	20	43.0
Storia	21	43.0
Storia	22	43.0
Storia	23	43.0
Storia	24	43.0
Storia	25	43.0
Storia	26	43.0
Storia	27	43.0
Storia	28	43.0
Storia	29	35.0
Storia	30	0.0
Storia	31	0.0
Storia	32	0.0
Storia	33	0.0
Storia	34	0.0
Storia	35	0.0
Storia	36	43.0
Storia	37	43.0
Storia	38	43.0
Storia	39	43.0
Storia	40	43.0
Storia	41	43.0
Storia	42	86.0
Storia	43	86.0
Storia	44	0.0
Storia	45	0.0
Storia	46	0.0
Storia	47	0.0
Storia	48	0.0
Storia	49	0.0
Storia	50	0.0
Storia	51	0.0
Storia	52	0.0
Storia	53	0.0
Veterinaria	1	60.0
Veterinaria	2	60.0
Veterinaria	3	60.0
Veterinaria	4	60.0
Veterinaria	5	60.0
Veterinaria	6	62.0
Veterinaria	7	62.0
Veterinaria	8	62.0
Veterinaria	9	62.0
Veterinaria	10	62.0
Veterinaria	11	62.0
Veterinaria	12	62.0
Veterinaria	13	62.0
Veterinaria	14	62.0
Veterinaria	15	62.0
Veterinaria	16	62.0
Veterinaria	17	62.0
Veterinaria	18	62.0
Veterinaria	19	62.0
Veterinaria	20	82.0
Veterinaria	21	82.0
Veterinaria	22	82.0
Veterinaria	23	82.0
Veterinaria	24	82.0
Veterinaria	25	82.0
Veterinaria	26	82.0
Veterinaria	27	82.0
Veterinaria	28	82.0
Veterinaria	29	82.0
Veterinaria	30	82.0
Veterinaria	31	0.0
Veterinaria	32	0.0
Veterinaria	33	0.0
Veterinaria	34	82.0
Veterinaria	35	82.0
Veterinaria	36	82.0
Veterinaria	37	82.0
Veterinaria	38	82.0
Veterinaria	39	82.0
Veterinaria	40	82.0
Veterinaria	41	82.0
Veterinaria	42	82.0
Veterinaria	43	244.0
Veterinaria	44	82.0
Veterinaria	45	82.0
Veterinaria	46	82.0
Veterinaria	47	82.0
Veterinaria	48	82.0
Veterinaria	49	82.0
Veterinaria	50	82.0
Veterinaria	51	82.0
Veterinaria	52	82.0
Veterinaria	53	0.0
